번호,종목코드,종목명,산업카테고리,시가총액(억),현재 PER,추정 PER,전년 영업이익,추정 영업이익,추정 ROE,부채비율,이익성장률,DeltaPER
0,439260,대한조선,조선,31245.0,11.09,10.0,2941.0,3638.0,24.6,40.8,0.23699421965317913,1.0899999999999999
0,139480,이마트,백화점과일반상점,31156.0,22.94,13.0,3225.0,5758.0,2.16,144.61,0.7854263565891473,9.940000000000001
0,028670,팬오션,해운사,31112.0,10.32,8.0,4919.0,5623.0,6.41,89.63,0.14311852002439518,2.3200000000000003
0,006360,GS건설,건설,3980.0,33.12,13.0,4378.0,4753.0,4.77,234.2,0.085655550479671,20.119999999999997
0,347850,디앤디파마텍,생물공학,3970.0,,,-340.0,-260.0,-63.39,23.5,-0.23529411764705888,
0,139130,iM금융지주,은행,3888.0,7.13,6.0,5832.0,6714.0,7.79,1435.88,0.15123456790123457,1.13
0,071970,HD현대마린엔진,조선,3767.0,18.64,22.0,759.0,1502.0,24.95,66.64,0.9789196310935442,-3.3599999999999994
0,237690,에스티팜,제약,3438.0,53.95,45.0,549.0,750.0,10.78,31.97,0.36612021857923494,8.950000000000003
0,131970,두산테스나,반도체와반도체장비,3266.0,2007.69,56.0,-9.0,652.0,11.69,61.02,-73.44444444444444,1951.69
0,005290,동진쎄미켐,반도체와반도체장비,3283.0,30.57,30.57,1724.0,1724.0,9.52,82.11,0.0,0.0
0,0043B0,TIGER 머니마켓액티브,,29340.0,,,,,,,,
0,204320,HL만도,자동차부품,29160.0,29.15,15.0,3571.0,4104.0,7.07,148.16,0.14925791094931395,14.149999999999999
0,004990,롯데지주,복합기업,29750.0,,,2394.0,4950.0,-10.51,144.87,1.0676691729323307,
0,278540,KODEX MSCI Korea TR,,29128.0,,,,,,,,
0,082920,비츠로셀,전기제품,29063.0,51.04,38.0,693.0,911.0,20.92,12.21,0.3145743145743145,13.04
0,481050,KODEX CD1년금리플러스액티브(합성),,28882.0,,,,,,,,
0,000155,두산우,복합기업,28775.0,203.05,33.0,10627.0,17260.0,25.15,169.14,0.6241648630845957,170.05
0,067310,하나마이크론,반도체와반도체장비,28679.0,75.04,75.04,1277.0,2516.0,24.0,209.16,0.9702427564604541,0.0
0,007340,DN오토모티브,자동차부품,28524.0,10.14,10.14,5279.0,5443.0,13.62,115.36,0.031066489865504865,0.0
0,098460,고영,전자장비와기기,28492.0,193.02,61.0,173.0,424.0,13.32,22.43,1.4508670520231215,132.02
